Chemical ID,SDS Code,ไฟล์ต้นทาง,ไฟล์ในระบบ,ความกว้าง,ความสูง
CHEM-041,SDS-CHEM-041,สารเคมี/SDS-CHEM-041_Formaldehyde-Solution-37percent-wv_0.png,assets/chemical-images/chemical-041.webp,768,1024
CHEM-042,SDS-CHEM-042,สารเคมี/SDS-CHEM-042_Glutaraldehyde-Solution-2percent-wv_0.png,assets/chemical-images/chemical-042.webp,768,1024
CHEM-043,SDS-CHEM-043,สารเคมี/SDS-CHEM-043_Ethanol-95percent-vv_0.png,assets/chemical-images/chemical-043.webp,768,1024
CHEM-044,SDS-CHEM-044,สารเคมี/SDS-CHEM-044_Peroxyacetic-Acid-5percent-wv-Solution_0.png,assets/chemical-images/chemical-044.webp,768,1024
CHEM-045,SDS-CHEM-045,สารเคมี/SDS-CHEM-045_Sodium-Hypochlorite-Solution-5percent-wv_0.png,assets/chemical-images/chemical-045.webp,768,1024
CHEM-046,SDS-CHEM-046,สารเคมี/SDS-CHEM-046_Hydrogen-Peroxide-Solution-3percent-wv_0.png,assets/chemical-images/chemical-046.webp,768,1024
CHEM-047,SDS-CHEM-047,สารเคมี/SDS-CHEM-047_Citric-Acid-Monohydrate_0.png,assets/chemical-images/chemical-047.webp,768,1024
CHEM-048,SDS-CHEM-048,สารเคมี/SDS-CHEM-048_Ammonia-Solution-10percent-wv_0.png,assets/chemical-images/chemical-048.webp,768,1024
CHEM-049,SDS-CHEM-049,สารเคมี/SDS-CHEM-049_Sodium-Bicarbonate_0.png,assets/chemical-images/chemical-049.webp,768,1024
CHEM-050,SDS-CHEM-050,สารเคมี/SDS-CHEM-050_Sodium-Thiosulfate-Solution-10percent-wv_0.png,assets/chemical-images/chemical-050.webp,768,1024
CHEM-051,SDS-CHEM-051,สารเคมี/SDS-CHEM-051_Sodium-Percarbonate_0.png,assets/chemical-images/chemical-051.webp,768,1024
CHEM-052,SDS-CHEM-052,สารเคมี/SDS-CHEM-052_Isopropyl-Alcohol-70percent-vv_0.png,assets/chemical-images/chemical-052.webp,768,1024
CHEM-053,SDS-CHEM-053,สารเคมี/SDS-CHEM-053_Boric-Acid_0.png,assets/chemical-images/chemical-053.webp,768,1024
CHEM-054,SDS-CHEM-054,สารเคมี/SDS-CHEM-054_Formaldehyde-Solution-37-40percent-wv_0.png,assets/chemical-images/chemical-054.webp,768,1024
CHEM-055,SDS-CHEM-055,สารเคมี/SDS-CHEM-055_Sodium-Nitrite_0.png,assets/chemical-images/chemical-055.webp,768,1024
CHEM-056,SDS-CHEM-056,สารเคมี/SDS-CHEM-056_Acetic-Acid-Glacial-99.5percent_0.png,assets/chemical-images/chemical-056.webp,768,1024
CHEM-057,SDS-CHEM-057,สารเคมี/SDS-CHEM-057_Hydrochloric-Acid-37percent-ww_0.png,assets/chemical-images/chemical-057.webp,768,1024
CHEM-058,SDS-CHEM-058,สารเคมี/SDS-CHEM-058_Sodium-Hypochlorite-Solution-5-6percent-wv_0.png,assets/chemical-images/chemical-058.webp,768,1024
CHEM-059,SDS-CHEM-059,สารเคมี/SDS-CHEM-059_Sodium-Hydroxide-Solution-10percent-wv_0.png,assets/chemical-images/chemical-059.webp,768,1024
CHEM-060,SDS-CHEM-060,สารเคมี/SDS-CHEM-060_Glacial-Acetic-Acid-99.5percent_0.png,assets/chemical-images/chemical-060.webp,768,1024
CHEM-061,SDS-CHEM-061,สารเคมี/SDS-CHEM-061_Sodium-Thiosulfate-Pentahydrate_0.png,assets/chemical-images/chemical-061.webp,768,1024
CHEM-062,SDS-CHEM-062,สารเคมี/SDS-CHEM-062_Ammonia-Solution-25percent-wv_0.png,assets/chemical-images/chemical-062.webp,768,1024
CHEM-063,SDS-CHEM-063,สารเคมี/SDS-CHEM-063_Potassium-Permanganate_0.png,assets/chemical-images/chemical-063.webp,768,1024
CHEM-064,SDS-CHEM-064,สารเคมี/SDS-CHEM-064_Sodium-Bicarbonate_0.png,assets/chemical-images/chemical-064.webp,768,1024
CHEM-065,SDS-CHEM-065,สารเคมี/SDS-CHEM-065_Hydrogen-Peroxide-Solution-3percent-wv_0.png,assets/chemical-images/chemical-065.webp,768,1024
CHEM-066,SDS-CHEM-066,สารเคมี/SDS-CHEM-066_Sodium-Chloride-Solution-0.9percent-wv_0.png,assets/chemical-images/chemical-066.webp,768,1024
CHEM-067,SDS-CHEM-067,สารเคมี/SDS-CHEM-067_Formaldehyde-Solution-37percent-ww_0.png,assets/chemical-images/chemical-067.webp,768,1024
CHEM-068,SDS-CHEM-068,สารเคมี/SDS-CHEM-068_Acetone_0.png,assets/chemical-images/chemical-068.webp,768,1024
CHEM-069,SDS-CHEM-069,สารเคมี/SDS-CHEM-069_Isopropyl-Alcohol-70percent-wv_0.png,assets/chemical-images/chemical-069.webp,768,1024
CHEM-070,SDS-CHEM-070,สารเคมี/SDS-CHEM-070_Sodium-Hypochlorite-Solution-5percent-wv_0.png,assets/chemical-images/chemical-070.webp,768,1024
CHEM-071,SDS-CHEM-071,สารเคมี/SDS-CHEM-071_Glutaraldehyde-Solution-2percent-wv_0.png,assets/chemical-images/chemical-071.webp,768,1024
CHEM-072,SDS-CHEM-072,สารเคมี/SDS-CHEM-072_Peroxyacetic-Acid-Solution-0.2percent-wv_0.png,assets/chemical-images/chemical-072.webp,768,1024
CHEM-073,SDS-CHEM-073,สารเคมี/SDS-CHEM-073_Hydrochloric-Acid-10percent-wv_0.png,assets/chemical-images/chemical-073.webp,768,1024
CHEM-074,SDS-CHEM-074,สารเคมี/SDS-CHEM-074_Ammonia-Solution-10percent-wv_0.png,assets/chemical-images/chemical-074.webp,768,1024
CHEM-075,SDS-CHEM-075,สารเคมี/SDS-CHEM-075_Sodium-Hydroxide-Solution-10percent-wv_0.png,assets/chemical-images/chemical-075.webp,768,1024
CHEM-076,SDS-CHEM-076,สารเคมี/SDS-CHEM-076_Ethanol-70percent-vv_0.png,assets/chemical-images/chemical-076.webp,768,1024
CHEM-077,SDS-CHEM-077,สารเคมี/SDS-CHEM-077_Hydrogen-Peroxide-Solution-3percent-wv_0.png,assets/chemical-images/chemical-077.webp,768,1024
CHEM-078,SDS-CHEM-078,สารเคมี/SDS-CHEM-078_Sodium-Bicarbonate_0.png,assets/chemical-images/chemical-078.webp,768,1024
CHEM-079,SDS-CHEM-079,สารเคมี/SDS-CHEM-079_Calcium-Hypochlorite-65percent-ww_0.png,assets/chemical-images/chemical-079.webp,768,1024
CHEM-080,SDS-CHEM-080,สารเคมี/SDS-CHEM-080_Sodium-Lauryl-Sulfate-SLS_0.png,assets/chemical-images/chemical-080.webp,768,1024
CHEM-081,SDS-CHEM-081,สารเคมี/SDS-CHEM-081_Benzalkonium-Chloride-Solution-10percent-wv_0.png,assets/chemical-images/chemical-081.webp,768,1024
CHEM-082,SDS-CHEM-082,สารเคมี/SDS-CHEM-082_Sodium-Hypochlorite-Solution-5percent-wv_0.png,assets/chemical-images/chemical-082.webp,768,1024
CHEM-083,SDS-CHEM-083,สารเคมี/SDS-CHEM-083_Glutaraldehyde-Solution-2percent-wv_0.png,assets/chemical-images/chemical-083.webp,768,1024
CHEM-084,SDS-CHEM-084,สารเคมี/SDS-CHEM-084_Formalin-10percent-wv_0.png,assets/chemical-images/chemical-084.webp,768,1024
CHEM-085,SDS-CHEM-085,สารเคมี/SDS-CHEM-085_Acetic-Acid-Glacial-99percent_0.png,assets/chemical-images/chemical-085.webp,768,1024
CHEM-086,SDS-CHEM-086,สารเคมี/SDS-CHEM-086_Ammonium-Hydroxide-Solution-25percent-wv_0.png,assets/chemical-images/chemical-086.webp,768,1024
CHEM-087,SDS-CHEM-087,สารเคมี/SDS-CHEM-087_Ethanol-Ethyl-Alcohol-70percent-wv_0.png,assets/chemical-images/chemical-087.webp,768,1024
CHEM-088,SDS-CHEM-088,สารเคมี/SDS-CHEM-088_Isopropyl-Alcohol-70percent-wv_0.png,assets/chemical-images/chemical-088.webp,768,1024
CHEM-089,SDS-CHEM-089,สารเคมี/SDS-CHEM-089_Sodium-Bicarbonate-over-99percent_0.png,assets/chemical-images/chemical-089.webp,768,1024
CHEM-090,SDS-CHEM-090,สารเคมี/SDS-CHEM-090_Hydrochloric-Acid-Solution-37percent-ww_0.png,assets/chemical-images/chemical-090.webp,768,1024
CHEM-091,SDS-CHEM-091,สารเคมี/SDS-CHEM-091_Sodium-Thiosulfate-Solution-10percent-wv_0.png,assets/chemical-images/chemical-091.webp,768,1024
CHEM-092,SDS-CHEM-092,สารเคมี/SDS-CHEM-092_Potassium-Permanganate-Solution-0.1percent-wv_0.png,assets/chemical-images/chemical-092.webp,768,1024
CHEM-093,SDS-CHEM-093,สารเคมี/SDS-CHEM-093_Sodium-Hypochlorite-Solution-5percent-wv_0.png,assets/chemical-images/chemical-093.webp,768,1024
CHEM-094,SDS-CHEM-094,สารเคมี/SDS-CHEM-094_Hydrogen-Peroxide-Solution-3percent-wv_0.png,assets/chemical-images/chemical-094.webp,768,1024
CHEM-095,SDS-CHEM-095,สารเคมี/SDS-CHEM-095_Formaldehyde-Solution-37percent-wv_0.png,assets/chemical-images/chemical-095.webp,768,1024
CHEM-096,SDS-CHEM-096,สารเคมี/SDS-CHEM-096_Glutaraldehyde-Solution-2.5percent-wv_0.png,assets/chemical-images/chemical-096.webp,768,1024
